Brand,Model,Year,Country,Condition,Engine_Size,Horsepower,Torque,Weight,Top_Speed,Acceleration_0_100,Fuel_Type,Drivetrain,Transmission,Fuel_Efficiency,CO2_Emissions,Price,Mileage,Popularity,Safety_Rating,Number_of_Owners,Market_Demand,Insurance_Cost,Production_Units,Log_Price,Log_Mileage,Modification
BMW,DBS,2014,USA,new,4.7,1497,813,906,256,4.3,Petrol,AWD,DCT,13.7,389,309732,93715,Low,2,4,Medium,3299,5000,12.64346592,11.44802421,GT
Aston Martin,720S,1987,Asia,used,7.7,425,1082,1433,164,6.2,Diesel,RWD,Automatic,8.5,194,374666,206153,Low,2,4,Medium,11829,100000,12.83379291,12.23637874,Sport
Ford,720S,2008,USA,used,6.2,1494,1564,971,247,4.8,Electric,FWD,DCT,8.7,394,112535,123873,Medium,3,2,High,5492,1000,11.63102845,11.7270202,
Ferrari,720S,2010,Europe,new,2.3,735,1251,2423,196,6,Electric,AWD,CVT,8.5,179,203871,141759,High,1,1,High,2492,200,12.22524762,11.86189077,
BMW,Mustang GT,2020,Asia,new,2.6,885,643,1517,348,3.9,Petrol,RWD,DCT,7.3,317,451923,107285,Medium,1,1,High,14304,5000,13.0212693,11.58325344,Track Edition
Porsche,GT-R,2009,USA,new,4.8,652,1586,1038,358,6.7,Petrol,FWD,Manual,5.4,308,155045,35476,High,2,3,Medium,8909,5000,11.95147713,10.47663988,
Nissan,911 Turbo S,2001,Asia,salvage,7.5,394,1649,2309,257,5.3,Diesel,RWD,Manual,14.1,199,254822,95456,Medium,3,4,High,4004,20000,12.44832447,11.46643116,Nismo
McLaren,911 Turbo S,2000,USA,new,3.2,1191,523,1441,257,5,Electric,AWD,Manual,7.3,122,153045,12623,Low,2,1,Low,14102,5000,11.93849381,9.443355043,
Ford,DBS,1991,USA,new,6.9,1284,462,1223,218,3.8,Diesel,AWD,Automatic,13.9,380,372759,106985,High,1,1,Low,3631,20000,12.82869006,11.58045326,
Porsche,DBS,1990,USA,used,3.6,511,1741,1848,201,6.7,Petrol,AWD,DCT,14.6,296,308477,176546,Medium,1,3,Medium,7929,20000,12.63940581,12.08134241,
Bugatti,720S,1981,Asia,new,3.3,1378,919,1500,316,3.7,Diesel,RWD,Manual,10.8,346,360046,160355,Low,4,2,High,7068,20000,12.79398986,11.98515162,
Porsche,Mustang GT,2020,USA,new,7.4,1296,1470,972,151,6.2,Electric,FWD,CVT,8.7,189,314436,118656,Low,1,1,Medium,7868,20000,12.65853902,11.68399226,
Nissan,720S,1981,Europe,new,1.9,560,333,1739,368,4,Electric,AWD,CVT,12.7,352,177623,228731,High,2,3,Medium,5191,200,12.08742424,12.34030629,
Bugatti,Mustang GT,2013,Asia,used,5.8,518,1143,2312,194,5.8,Electric,AWD,CVT,5.3,105,134600,124299,High,4,2,High,13732,200,11.81007013,11.73045328,
Ford,720S,1982,Europe,new,1.9,183,1699,2161,301,6.6,Electric,RWD,Automatic,14.3,118,430299,29708,High,4,2,Medium,11277,20000,12.97223792,10.29920531,
Nissan,Huracan,1995,Europe,new,6.7,153,441,1887,382,4.3,Electric,AWD,Manual,9.1,374,143539,233210,Medium,3,2,High,6876,20000,11.87436902,12.3596989,
Lamborghini,Huracan,1983,Asia,used,6.9,524,1221,2245,338,4.6,Petrol,RWD,Manual,8.1,209,106110,98311,High,4,2,Medium,12949,20000,11.572241,11.49590137,
McLaren,Chiron,2002,USA,new,7.3,762,1198,2264,260,3.7,Diesel,AWD,DCT,6.3,194,464018,199538,Low,4,1,High,3298,20000,13.04768078,12.20376498,
Ford,720S,1999,Europe,new,2.8,248,903,2228,241,2.3,Diesel,FWD,Automatic,14.6,186,165860,174238,Medium,4,1,Medium,6205,20000,12.01890537,12.0681832,
Lamborghini,GT-R,2004,Asia,new,2.4,1112,975,1931,271,5.3,Diesel,AWD,CVT,13.1,112,421068,140036,High,2,3,Low,4573,50,12.95055199,11.84966195,Nismo
BMW,Chiron,2009,USA,used,4.8,1338,1214,2130,388,2.6,Petrol,RWD,DCT,12.2,441,485529,160427,High,3,1,Low,6865,1000,13.09299636,11.98560052,Turbo
Ford,DBS,1997,Asia,salvage,3.3,321,1211,1310,214,3.8,Petrol,AWD,CVT,14.3,294,207705,17202,High,2,1,Medium,1783,20000,12.2438789,9.752839066,Nismo
BMW,M4 Competition,2021,Asia,new,5.5,616,299,1157,330,3.7,Petrol,RWD,CVT,14.6,175,250052,48483,High,3,1,Medium,858,200,12.42942817,10.78898913,
Bugatti,720S,1990,Asia,new,4.9,762,499,1550,265,2.8,Petrol,RWD,Manual,7.7,328,454397,17390,Medium,3,2,Low,2773,1000,13.02672874,9.76370811,
Lamborghini,Huracan,2008,USA,new,2.5,850,1052,1969,298,5.3,Diesel,RWD,DCT,12.9,258,164130,227480,Low,4,1,Low,568,20000,12.00842017,12.334822,V-Spec
McLaren,M4 Competition,1996,Europe,new,6.3,513,569,1025,398,2.9,Electric,FWD,Automatic,12.7,432,117868,223756,Low,1,4,Low,2525,100000,11.67732912,12.31831592,Supercharged
Nissan,Mustang GT,2005,Europe,used,6.7,941,1404,1944,276,5.9,Electric,FWD,CVT,10.6,122,321642,220066,Medium,1,3,Medium,8700,1000,12.68119751,12.30168732,Sport
Chevrolet,M4 Competition,2002,Asia,new,7.8,475,1590,2093,369,3.2,Petrol,AWD,Manual,6.5,304,57597,213535,High,2,1,Low,8972,20000,10.96124312,12.27156072,Sport
Porsche,GT-R,1999,Asia,new,4.1,602,250,1443,216,3.4,Diesel,RWD,Manual,14.4,425,412392,75719,High,4,4,Medium,2075,1000,12.92973206,11.23479761,
Ferrari,720S,2024,USA,used,3.8,805,1377,2339,243,3.7,Diesel,FWD,CVT,8.2,339,385789,48261,High,3,4,High,5814,1000,12.86304846,10.78439978,Turbo
McLaren,911 Turbo S,1981,Asia,new,2.8,132,1023,1354,278,2.8,Petrol,RWD,Manual,10.8,413,129148,149552,High,1,2,Medium,9484,5000,11.76872206,11.91540612,
Lamborghini,M4 Competition,2003,Asia,used,2.8,1203,1297,1561,208,4.2,Diesel,AWD,Manual,5.2,294,115781,69627,High,2,3,Medium,8998,20000,11.65946439,11.15092206,
Chevrolet,911 Turbo S,2010,Asia,new,3.7,1054,449,2129,264,2.4,Electric,RWD,CVT,9.3,298,370637,230154,Medium,1,2,Medium,4460,20000,12.82298112,12.34650827,
McLaren,Mustang GT,2006,Europe,salvage,7.9,1005,756,2256,265,4.1,Petrol,FWD,Automatic,11.2,237,39689,218694,High,3,4,Low,645,200,10.58885455,12.29543334,RS
Lamborghini,Chiron,1981,Asia,new,2.2,1113,1755,1944,386,3.7,Diesel,FWD,CVT,8.8,322,413336,196238,High,1,1,Medium,4065,1000,12.93201852,12.18708858,V-Spec
Aston Martin,911 Turbo S,1993,Europe,salvage,3.3,1364,172,1817,196,3.7,Diesel,RWD,DCT,9.8,423,442945,247875,Low,2,4,High,942,100000,13.00120315,12.4206839,Nismo
Aston Martin,Chiron,1983,USA,new,2.2,1102,587,1988,258,5.3,Diesel,RWD,CVT,6.9,425,36025,24743,Low,2,3,Medium,4426,20000,10.49199618,10.11633831,
BMW,Huracan,1992,USA,used,3.4,1436,759,987,167,5.8,Petrol,RWD,CVT,8.5,437,442017,245240,Medium,2,4,High,9000,20000,12.99910588,12.40999668,
McLaren,720S,2015,Europe,new,2.2,508,532,2402,262,3.8,Electric,RWD,Automatic,12.2,314,23450,248737,High,4,4,Medium,13269,1000,10.06266842,12.42415541,
Aston Martin,M4 Competition,2014,Europe,used,4.9,1479,1157,1966,182,3.3,Diesel,RWD,CVT,14.7,107,275543,77559,Low,4,2,High,6027,100000,12.5265026,11.25880711,
Lamborghini,Huracan,2023,Europe,new,4.4,1451,615,2064,292,4.5,Petrol,RWD,CVT,9.7,315,411779,67434,High,4,4,High,6192,1000,12.92824451,11.11891945,
BMW,Huracan,1987,Europe,used,2.7,267,1660,2297,173,5.9,Petrol,AWD,Manual,11.9,383,326310,149607,Medium,2,2,Low,8419,1000,12.69560619,11.91577382,Turbo
Lamborghini,Corvette Z06,1981,Asia,used,2.7,254,487,1415,185,5.2,Diesel,AWD,CVT,14.8,354,293267,246485,Low,1,2,High,6188,20000,12.58884215,12.41506048,GT
BMW,488 GTB,1985,Europe,used,5.6,1063,658,1399,209,2.2,Petrol,FWD,Automatic,12.7,422,84547,240797,High,2,1,Medium,12469,5000,11.3450747,12.39171369,Nismo
McLaren,GT-R,2010,Europe,used,4.1,609,756,2202,311,4.4,Electric,RWD,Manual,5.1,304,247533,92260,High,4,4,High,14144,50,12.41930323,11.4323768,
Chevrolet,Chiron,1989,Europe,new,2,699,1595,1225,239,7,Electric,AWD,CVT,14.4,260,48122,14449,Low,2,1,High,8071,20000,10.78151551,9.578449694,Track Edition
Nissan,Corvette Z06,2023,Asia,new,7.5,1515,1684,2341,200,3.8,Petrol,RWD,Manual,13.7,213,45369,177597,High,1,3,High,5178,200,10.72260637,12.08727785,
Ford,488 GTB,2000,Asia,used,4.2,195,634,1452,317,4.2,Diesel,FWD,DCT,7.7,344,76915,55613,High,1,2,Low,4540,200,11.2504692,10.92619025,
Chevrolet,GT-R,2021,Asia,new,5.4,981,600,1787,299,3.4,Electric,AWD,CVT,6.8,435,298498,248485,Low,3,2,Medium,2918,20000,12.60652186,12.42314178,
Bugatti,Chiron,1989,USA,new,7.3,561,533,1895,293,4.5,Diesel,RWD,CVT,14,302,305785,74269,High,2,3,High,3221,50,12.63064079,11.21546238,
Lamborghini,720S,2002,Asia,new,4.2,1258,347,1892,253,2.8,Petrol,RWD,Manual,11.9,316,484482,236575,High,1,2,Medium,12841,1000,13.09083762,12.37402479,
Bugatti,GT-R,1982,Europe,new,6.9,1242,256,1828,319,3.2,Electric,RWD,CVT,7.4,244,326500,63826,Low,2,1,Medium,1076,5000,12.69618829,11.06393158,
Chevrolet,M4 Competition,2011,Asia,used,7.5,730,1383,1820,165,5.6,Diesel,RWD,CVT,12.1,233,355119,198040,Medium,4,1,High,9960,20000,12.78021104,12.19622936,Supercharged
BMW,Huracan,1999,Asia,used,2.7,985,910,1207,282,2.7,Petrol,RWD,Automatic,11,273,218730,186873,Low,1,3,Low,699,20000,12.29559794,12.13818987,
Ford,488 GTB,1989,Europe,salvage,7.3,135,954,1556,392,6.6,Diesel,RWD,CVT,8.1,369,249216,223844,Medium,1,4,Low,7078,1000,12.42607928,12.31870913,
Ford,488 GTB,2008,Asia,new,2.4,287,591,2230,283,3.5,Electric,FWD,Automatic,10.6,264,302760,80748,High,4,2,Medium,14184,5000,12.62069899,11.29910086,V-Spec
Ferrari,488 GTB,2020,USA,salvage,3.4,459,637,1369,319,4.9,Petrol,RWD,DCT,10.3,206,284452,155222,Low,2,4,Low,10100,100000,12.55832332,11.95261807,
Ford,Chiron,2013,Asia,used,6.8,1256,1604,2107,365,3.6,Petrol,RWD,DCT,10.1,347,252659,165387,Medium,3,1,Low,11404,5000,12.43979999,12.01604951,
Nissan,M4 Competition,2016,USA,salvage,7.4,352,424,1524,179,4.4,Diesel,AWD,Manual,10.2,431,370071,168200,High,2,1,High,4324,20000,12.82145286,12.03291497,
Ford,GT-R,1999,USA,used,6,531,774,1190,378,6.5,Diesel,RWD,Manual,5,438,146506,173436,Low,3,2,Low,5840,1000,11.89482849,12.0635697,Nismo
Chevrolet,Huracan,1987,USA,used,2.3,674,300,1148,309,2.3,Petrol,RWD,Manual,7.7,440,108673,134052,Low,3,3,High,5159,20000,11.59610785,11.80599052,
Ferrari,M4 Competition,1986,Europe,new,4.9,638,149,1223,330,6.3,Electric,AWD,Manual,9.3,128,225597,213264,Low,2,1,Low,4420,100000,12.32650993,12.2702908,Turbo
Chevrolet,Corvette Z06,1985,Asia,new,5.3,313,1091,2366,296,4.8,Electric,AWD,CVT,6.3,319,374889,90018,Low,4,4,High,3819,100000,12.83438793,11.40777604,
Chevrolet,720S,1990,USA,new,3.4,1044,884,1503,200,5.3,Diesel,RWD,Automatic,12.5,308,314527,6642,Low,3,1,Medium,5690,100000,12.65882838,8.801318948,
Porsche,911 Turbo S,2023,USA,salvage,7.9,1240,159,958,386,2.3,Diesel,FWD,Manual,13.5,148,31748,5102,High,2,2,Medium,5078,5000,10.36561651,8.537583881,GT
Ferrari,M4 Competition,1997,Asia,salvage,3.7,710,306,1920,305,5.8,Diesel,AWD,DCT,13.2,101,398399,229744,High,1,3,High,5251,1000,12.8952118,12.34472528,
Chevrolet,Corvette Z06,2021,Europe,used,2.9,667,438,1168,324,2.6,Electric,AWD,CVT,9.6,297,335607,65384,Low,3,1,Low,8456,100000,12.72369909,11.08804815,Turbo
Porsche,Huracan,2008,Europe,used,2.3,647,1370,2241,221,6.8,Electric,RWD,Automatic,11.9,188,336176,55261,Low,2,2,High,11637,20000,12.72539309,10.91984079,Supercharged
Porsche,911 Turbo S,2004,USA,salvage,4,897,851,993,277,6,Diesel,AWD,Automatic,5.8,310,427618,172408,High,3,1,Low,10445,5000,12.96598789,12.05762484,
Ferrari,911 Turbo S,2000,Europe,used,6,424,1011,2177,256,4.5,Diesel,RWD,Manual,7,169,433926,33851,High,2,1,Low,8696,50,12.9806316,10.42975336,
Bugatti,M4 Competition,1982,Asia,used,3.1,1144,443,1586,276,6.6,Petrol,FWD,Manual,5.5,292,60938,180995,Medium,2,4,Medium,2108,5000,11.01762864,12.10623021,
BMW,488 GTB,1997,Europe,new,6.5,389,1062,2383,278,2.8,Petrol,FWD,Automatic,14.7,145,491274,192936,High,3,1,Medium,4066,200,13.10475933,12.17011899,
Nissan,DBS,2003,Asia,new,2.5,955,1186,1414,345,7,Petrol,RWD,DCT,10.7,162,333497,56771,Medium,1,1,Low,1448,5000,12.71739215,10.94679853,Track Edition
BMW,Huracan,2017,USA,new,4.4,1457,775,1432,334,5.6,Petrol,FWD,Manual,6.8,218,428587,2007,Low,1,3,High,9710,100000,12.96825136,7.604894481,Turbo
Ford,488 GTB,1989,Asia,new,6.1,445,1421,2027,299,2.5,Diesel,RWD,Automatic,12.1,325,254532,233346,High,3,4,High,5859,5000,12.44718577,12.3602819,
Nissan,Huracan,2006,USA,used,2.5,875,1462,1301,363,4.7,Electric,AWD,CVT,9.9,440,261321,103560,Low,2,3,Low,14598,5000,12.47350864,11.54791609,
Ford,DBS,1991,Asia,new,5.4,848,293,1866,243,5.6,Electric,AWD,Automatic,9.3,126,41816,39690,Medium,1,2,High,5810,20000,10.64105823,10.58887974,
Chevrolet,720S,1986,Asia,used,6.7,1230,804,2256,207,5.1,Petrol,RWD,Manual,14.1,290,237099,204767,High,2,1,Medium,5625,5000,12.37623727,12.22963291,V-Spec
Lamborghini,DBS,1996,Europe,new,5.4,809,1184,1620,368,4.1,Electric,RWD,CVT,12.1,378,456397,29930,Medium,3,4,Low,1842,20000,13.03112051,10.30665001,Sport
Ferrari,Mustang GT,1980,Asia,new,4.9,983,528,1776,368,3.2,Petrol,AWD,DCT,11.9,327,322304,75251,High,2,3,High,10638,1000,12.68325358,11.22859776,
Nissan,M4 Competition,2005,USA,used,7,590,1705,1507,162,3.2,Diesel,RWD,Automatic,6,323,218810,83198,Low,1,3,Low,10212,1000,12.29596362,11.32899061,
Nissan,M4 Competition,1994,Asia,used,7.9,1209,1466,992,316,6.6,Petrol,AWD,Automatic,5.9,394,233510,173884,Low,1,2,Low,11689,20000,12.36098446,12.06614944,
Chevrolet,Corvette Z06,2012,USA,new,2.8,936,299,2480,176,3.2,Electric,RWD,Automatic,11.6,157,434697,236007,High,3,2,Medium,1938,200,12.98240682,12.37162098,
Bugatti,488 GTB,2016,USA,used,6,1234,973,1473,316,6.8,Electric,AWD,CVT,6.6,400,331531,91484,Low,3,2,High,4531,1000,12.71147961,11.4239303,
Porsche,Corvette Z06,2010,Asia,new,2.1,1329,1302,2465,379,3.1,Electric,FWD,Manual,9.5,308,139845,148193,Low,3,3,Low,6536,5000,11.8482971,11.90627751,GT
Chevrolet,Mustang GT,2014,Europe,salvage,1.9,922,156,1870,270,3.9,Diesel,FWD,Automatic,10.7,241,370127,183663,Low,2,1,Low,1537,1000,12.82160417,12.12086328,
Aston Martin,DBS,1980,Asia,used,3.4,1059,525,1336,349,2.1,Petrol,AWD,CVT,8.9,249,57161,60918,Low,1,2,High,5827,100000,10.95364462,11.01730039,
Porsche,M4 Competition,1987,Asia,new,7.8,278,658,1933,289,6.5,Diesel,AWD,Automatic,5.9,116,201491,185441,Medium,3,3,High,501,1000,12.21350496,12.13049744,Supercharged
Ferrari,Chiron,1991,Europe,used,5.1,897,495,1355,301,2.5,Diesel,AWD,Manual,12.4,339,399002,91412,Low,1,2,High,13189,100000,12.89672421,11.42314298,
Porsche,DBS,1998,USA,used,3.3,1434,375,1314,167,3.8,Petrol,AWD,CVT,13.9,137,29707,86040,Low,1,1,High,9221,100000,10.29917165,11.36257921,Nismo
Bugatti,DBS,2004,Asia,used,2.4,474,397,2441,268,6.2,Electric,AWD,DCT,6.6,445,396474,76244,Medium,4,2,Low,7702,5000,12.89036827,11.24170712,Turbo
Porsche,Mustang GT,2011,Europe,used,7.5,1103,368,2298,164,6,Electric,FWD,Automatic,13.5,386,109993,22077,High,1,4,High,5357,20000,11.6081811,10.00233692,V-Spec
Ferrari,720S,1991,Europe,new,3.9,1051,812,2454,337,6.2,Electric,AWD,Manual,12.9,197,161609,58963,High,1,3,Low,2629,5000,11.9929413,10.98468237,Nismo
Bugatti,Huracan,1992,USA,used,3.6,159,1160,2447,293,6.6,Electric,RWD,DCT,10.6,157,259545,159255,Low,3,3,Low,5388,20000,12.46668923,11.97826825,
BMW,Mustang GT,2007,Europe,used,7.1,859,1511,2296,246,6.6,Diesel,FWD,Manual,11,446,338314,233156,Medium,3,2,High,4054,5000,12.73173269,12.35946733,
Nissan,Huracan,1980,USA,restored,5.5,1111,244,1603,223,5.9,Petrol,AWD,DCT,11.5,116,164424,18856,Low,2,2,Medium,1398,5000,12.01020982,9.844639477,
Nissan,M4 Competition,1985,Asia,new,2.7,360,1455,1781,196,4.9,Petrol,RWD,Manual,10.2,219,193320,7096,Low,3,1,Medium,10201,20000,12.1721073,8.867427439,
Ford,Mustang GT,1987,Europe,used,4.3,1512,331,1661,301,4.8,Petrol,FWD,DCT,13.4,122,252555,225857,Low,1,2,Medium,13356,5000,12.43938829,12.32766176,GT
BMW,Huracan,1983,Asia,used,7.5,1315,591,2362,322,2.1,Diesel,RWD,CVT,9.7,309,385793,210681,Medium,2,2,Low,14271,20000,12.86305883,12.25810517,Nismo
BMW,Corvette Z06,1984,Europe,used,7.4,858,868,2118,168,5.6,Electric,AWD,DCT,10.5,312,217805,79112,Medium,2,1,Low,2345,5000,12.29136004,11.27863249,
Porsche,Mustang GT,2004,Europe,new,2,1381,1558,1164,240,3.1,Electric,RWD,Manual,5.4,247,47752,138474,Medium,3,4,Medium,12291,5000,10.77379717,11.83844508,
Nissan,M4 Competition,2001,Asia,new,3.3,1374,619,1406,386,6.1,Petrol,RWD,Automatic,6.8,195,367996,53895,Low,4,1,High,3975,5000,12.81583006,10.89481154,
Ferrari,Mustang GT,2007,Europe,new,2.6,875,930,1545,318,4.8,Electric,FWD,DCT,14,359,26481,137341,Low,4,1,Low,2680,100000,10.18422054,11.83022944,Sport
McLaren,M4 Competition,2018,Asia,new,5,1226,1008,1796,180,6.9,Diesel,RWD,Manual,6.2,172,210133,219743,Low,3,1,High,7984,20000,12.2555007,12.30021851,
McLaren,Mustang GT,2002,Asia,used,6.4,528,1324,2349,362,3.1,Electric,RWD,Automatic,14,430,414844,180025,High,4,3,Low,6546,1000,12.93566024,12.10085656,
Bugatti,Huracan,1983,USA,used,3.5,224,1532,1760,165,5.6,Electric,FWD,CVT,11.4,148,142486,88902,Low,1,2,Medium,3339,20000,11.86700605,11.39530117,
Nissan,720S,1983,Asia,restored,6.5,604,1330,1588,300,4.7,Electric,AWD,CVT,14.2,321,229016,33317,High,3,4,Medium,1758,5000,12.34155152,10.41385307,
Nissan,GT-R,2000,USA,used,5.9,1248,1611,1766,227,6.7,Petrol,RWD,Automatic,13.1,381,101082,199827,High,2,3,High,14963,20000,11.52369724,12.20521228,
McLaren,Huracan,2016,Asia,new,6.3,904,1600,2022,172,3.3,Diesel,AWD,Manual,13.7,131,117036,165370,Low,4,2,High,4256,100000,11.6702454,12.01594671,
Nissan,488 GTB,2020,Europe,new,7.7,1277,1277,1953,190,2.3,Petrol,FWD,Manual,10.2,127,104821,176686,High,1,3,Low,9119,200,11.56001895,12.08213508,
Porsche,911 Turbo S,1981,Asia,used,4.3,929,294,2214,295,4.7,Diesel,AWD,DCT,13.3,406,455727,67662,Low,1,3,Low,843,100000,13.02965142,11.12229478,GT
Aston Martin,720S,1986,Europe,used,3.8,1073,1404,2498,313,4.6,Petrol,RWD,CVT,9.6,267,290879,202726,Medium,4,2,Low,9840,1000,12.58066609,12.21961553,Nismo
Lamborghini,Corvette Z06,1995,USA,used,6,1152,436,1386,161,3.6,Diesel,RWD,CVT,5.4,136,241607,21019,High,2,4,Low,7747,1000,12.39507186,9.953229644,RS
BMW,DBS,1996,Europe,new,6.8,750,1120,2329,397,6.9,Diesel,AWD,CVT,11.5,333,367481,70110,High,2,3,High,4194,20000,12.81442962,11.15783498,Nismo
Ford,Huracan,1999,Asia,used,2.8,989,943,927,378,2.3,Petrol,AWD,CVT,12.3,278,395902,12219,Low,2,1,Medium,3738,1000,12.88892451,9.410829233,
Bugatti,Mustang GT,2002,Europe,new,7,1093,989,2069,224,4.8,Petrol,RWD,Manual,6,156,339442,10517,Low,2,3,High,13583,100000,12.73506132,9.260843354,
Aston Martin,Huracan,2013,USA,used,2,1201,1050,1187,346,3.3,Electric,FWD,CVT,13.2,332,96905,59111,Low,3,3,High,12143,20000,11.48149672,10.98718923,
McLaren,Chiron,1990,Europe,salvage,1.6,942,1006,1480,328,2,Diesel,RWD,Automatic,5.8,435,116117,188528,Low,2,2,Medium,3182,100000,11.66236219,12.14700712,
BMW,720S,2013,Europe,used,2.6,224,388,1849,234,6.9,Diesel,RWD,Manual,9.4,171,217601,153266,Medium,3,3,High,14584,20000,12.29042299,11.93993678,
Nissan,GT-R,2012,Asia,new,7.9,162,589,1151,309,4.4,Diesel,AWD,Automatic,9.9,294,345294,232215,Low,2,4,High,13504,100000,12.7521544,12.35542325,
Ford,Corvette Z06,2005,Asia,used,5,1271,343,2085,370,6.3,Diesel,RWD,Automatic,5.4,102,33168,23777,Medium,2,3,Low,5634,20000,10.40937098,10.07651606,Turbo
Nissan,Chiron,1981,Europe,new,1.9,1404,1395,1826,220,6.2,Diesel,AWD,Manual,5.7,301,259099,103496,High,2,3,High,13916,5000,12.46496937,11.54729791,Nismo
Ferrari,M4 Competition,2002,USA,new,8,1456,1207,1009,313,6.1,Electric,FWD,Automatic,9.5,290,116581,143420,Low,3,3,High,8439,100000,11.66635017,11.87353964,
Ferrari,Chiron,2020,Europe,used,6.4,251,1094,1543,317,4.3,Electric,RWD,Automatic,8.1,306,425794,160257,High,2,3,High,6145,200,12.96171329,11.9845403,
Ford,Huracan,2001,USA,new,7,347,1026,1297,275,6.5,Electric,FWD,DCT,13.2,210,89962,126316,Low,3,2,High,13006,20000,11.40715375,11.7465499,
Ford,Corvette Z06,2013,USA,salvage,3,1206,949,2194,368,3.8,Diesel,FWD,CVT,9.1,446,351195,195672,Medium,1,1,High,6013,20000,12.76909975,12.18420018,
